Region,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20
Midwest,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,1,4,7,19,40,28,71,68,21,139,166,296,478,550,568,1201,969,1169,1437,2014,2449,2499,2876,2746,3402,4143,3725,4671,4590,3880,4446,4744,4549,4158,4326,4345,4020,4034,3941,4161,4101,5579,5189,5114,4681,4629,5243,6226,7217,5751,5389,5346,6111,6551,7473,8785,7142,7060,6044,5946,6996,7650,7929,6246,4361,4824,7471,5131,7908,6728,6245,4881,6363,4831,6582,6585,7046,6341,5946,4765,4028,4972,5051,6120,5023,4248,3330,4331,4209,4255,5010,3678,2913,2751,2875,2967,3622,3333,3210,2589,2744,2735,3130,3899,3775,3647,3589,3016,3188,3573,5238,5222,4590,4212,4105,4488,5002,5927,5720,4996,4802,4371,6037,6390,6815,8046,7516,6380,5630,6370,7993,8086,8574,7827,6965,7355,7073,8638,9657,9927,8846,8471,7244,7829,9453,10685,9926,8280,6974,6656,7880,8692,9422,9490,8752,7603,6753
Northeast,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,9,14,14,48,54,37,43,138,137,166,257,5,587,795,1744,3242,3105,4013,5071,6520,6510,7206,10869,10698,11718,11402,12620,13651,14383,14928,18787,18897,15278,16660,15551,17874,20526,18745,17517,16458,13684,15153,17708,18739,16247,14726,13455,13350,12696,13417,15919,18462,18405,13644,9668,9885,11131,12060,11875,11161,9396,7680,7880,7683,9848,8981,7815,7073,4866,4780,5740,7267,7333,7143,5986,5921,4758,6110,5767,5333,4716,4887,3685,3706,3589,4328,5141,4248,3568,2930,3350,2860,2935,3306,3415,1996,2047,1939,2311,2545,2613,2551,1588,1653,1754,1638,1815,2194,1949,1539,1796,2007,1543,1950,2303,2198,1732,1395,1962,1944,2568,2584,1798,1573,1873,2112,2111,2130,2480,2143,1855,1983,2700,2619,2270,2426,2113,1440,2328,2601,2379,2406,3441,2453,2089,3119,2733,2958,2763,3110,2294,1881,2384,2714,2409,2296,2531,2185,1873,2376
South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,5,7,13,12,14,32,40,58,116,175,64,176,359,450,787,958,1066,897,1429,1544,2054,2810,3048,3539,2607,3364,6129,4614,8096,5454,6860,4468,6194,7686,6092,7421,7105,6114,5429,5446,5476,4691,6104,7520,5386,5224,5796,4997,6036,8060,6699,5692,5814,4929,5920,5604,6539,9532,7421,5991,6117,6210,6534,6947,6514,6740,6116,6163,6817,6582,8608,7459,7639,5407,6687,7179,7122,9321,7999,7191,6244,7122,6921,6654,8668,8142,9469,8009,7025,8377,8227,8803,9867,9847,7958,7285,8487,9793,10001,12571,13152,10720,9389,11890,13567,13204,16019,16813,13631,15861,17404,21130,21590,26101,24962,22461,23548,23858,29110,31428,32872,30534,24939,25144,31697,34635,36620,39825,35915,37692,36946,37392,40347,47660,42545,38350,39476,34989,35324,41432,39807,42146,39379,31976,34162,35413,37585,39091,39083,32681,27541,26756,31578,31966,31263,34290,31619,27421,21556
West,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,8,4,18,13,22,50,24,53,44,10,98,180,229,243,213,8,439,412,275,715,664,661,742,1144,997,1183,2278,1927,1901,2184,2657,2663,2191,3554,2910,2512,4104,2207,2614,2898,2498,3139,1865,2440,2041,2372,2342,2132,3226,2797,2023,3341,3063,3345,3668,3884,2870,2634,2453,2506,4089,3221,3599,3150,2870,2445,3916,3855,3181,3380,4711,2018,2847,2982,3376,3584,3528,3854,2592,2587,3422,3815,3386,3541,3432,3502,3233,4054,2919,4592,4893,5460,3943,3913,4745,4441,4764,6850,5427,4730,5213,4599,5515,6704,6564,6434,4748,5761,7245,7140,8723,9351,10018,7579,9786,12429,8519,10998,11541,10780,11045,11645,15184,14989,14426,12010,8423,18405,12841,19986,15351,17504,17091,14311,12742,14214,20799,15995,18986,17414,14976,13289,16242,18969,18234,16325,17613,15118,11751,11499,19385,20490,14923,14674,14043,10563,9127,14712,9345,16318,11018,12809,9234,18077
