Region,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20
Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,6,8,15,22,30,41,56,84,117,155,221,279,342,426,574,737,896,1079,1222,1415,1631,1929,2224,2530,2917,3206,3406,3671,4064,4434,4769,5179,5483,5682,5938,6337,6819,7262,7620,7886,8220,8479,8950,9406,9940,10285,10669,10854,11055,11513,11948,12345,12674,13062,13219,13409,13833,14227,14591,14934,15197,15315,15481,15906,16301,16628,16906,17203,17334,17426,17578,17960,18274,18546,18782,18909,19055,19370,19583,19858,20098,20274,20369,20474,20674,20868,21111,21281,21422,21476,21545,21713,21899,22090,22251,22404,22453,22517,22649,22773,22891,22986,23097,23134,23191,23331,23419,23554,23614,23640,23663,23698,24082,24183,24259,24355,24447,24502,24545,24616,24692,24805,24864,24960,25024,25084,25203,25303,25435,25530,25575,25613,25701,25846,25967,26091,26230,26313,26364,26412,26521,26645,26765,26909,26986,27018,27056
Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,6,12,23,39,69,111,171,226,335,458,613,802,1095,1464,1921,2393,3017,3860,4767,5889,6806,7740,8754,10013,11630,13164,14582,15949,17436,18847,20161,21650,23406,24749,26492,28182,28979,30057,31612,32980,34286,35495,36534,37268,38164,39321,40791,42023,43148,43977,44627,45387,46577,47945,48943,49807,50488,51026,51520,52111,52972,53839,54639,55177,55596,55900,56489,57129,57584,58138,58667,58933,59150,59395,59972,60340,60808,61189,61459,61851,62136,62484,62887,63186,63402,63626,63807,64074,64366,64597,64926,65196,65331,65484,65702,65908,66063,66212,66377,66473,66576,66766,66967,67029,67185,67295,67354,67456,67574,67700,67836,68028,68104,68194,68245,68381,68504,68723,68867,68958,68989,69112,69180,69317,69417,69505,69566,69611,69651,69734,69789,69891,69971,70017,70072,70122,70197,70227,70298,70358,70404,70443,70482,70533,70557,70630,70670,70725,70751,70775
South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,5,7,11,15,24,42,56,73,86,111,141,188,236,322,395,456,528,701,832,1051,1200,1361,1538,1705,2028,2249,2514,2776,3020,3163,3382,3809,4106,4424,4765,5050,5235,5629,6024,6351,6807,7118,7370,7550,7766,8204,8599,8984,9222,9595,9768,10043,10474,10851,11219,11565,11827,11957,12164,12581,12871,13237,13554,13800,13942,14165,14478,14794,15098,15404,15586,15763,15918,16126,16504,16823,17106,17340,17488,17643,17938,18220,18449,18714,18884,18962,19128,19447,19710,19953,20190,20370,20445,20562,20866,21105,21307,21524,21701,21799,21949,22330,22575,22822,23052,23239,23341,23467,23762,24043,24332,24617,24734,24857,25036,25462,25856,26298,26693,27027,27260,27460,27936,28412,28946,29466,29893,30175,30478,31060,31829,32416,33086,33646,33951,34845,35597,36524,37200,37907,38634,38866,39226,40062,41003,41710,42491,43125,43476,43797
West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,7,11,12,14,17,19,20,25,28,36,43,44,48,59,72,90,100,117,132,144,167,196,243,285,324,389,426,473,561,623,732,813,893,1007,1101,1241,1367,1515,1633,1724,1818,1923,2056,2231,2396,2560,2718,2806,2902,3049,3289,3532,3786,3908,3975,4064,4232,4417,4565,4739,4835,4935,5025,5256,5426,5588,5772,5921,5975,6091,6275,6478,6654,6860,7022,7092,7165,7385,7605,7747,7876,7988,8023,8072,8162,8338,8519,8659,8784,8823,8905,9049,9212,9326,9466,9586,9630,9689,9844,10008,10175,10265,10432,10471,10523,10671,10789,10947,11089,11206,11243,11311,11453,11643,11771,11899,11988,12038,12116,12298,12488,12651,12765,12814,12875,12959,13235,13462,13733,13928,14094,14226,14249,14560,14834,15036,15281,15565,15619,15727,16051,16332,16628,16903,17143,17222,17314,17701,18055,18397,18731,18980,19058,19150,19524,19798,20135,20404,20704,20804,20946
