Continent,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20
Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,1,0,3,6,3,6,10,12,9,7,9,18,24,19,18,21,27,34,53,44,52,61,43,46,41,53,66,49,46,46,39,37,55,51,42,63,38,30,51,57,27,51,48,39,61,65,46,58,67,37,46,66,98,67,81,67,69,54,51,98,69,62,84,51,73,75,83,105,89,73,97,125,113,108,92,131,147,153,121,151,107,155,159,140,133,175,175,150,163,199,203,206,303,253,203,201,263,236,197,223,282,235,214,213,202,179,216,267,259,238,239,201,280,249,365,255,226,310,220,257,218,299,226,370,315,282,214,254,314,708,269,390,417,245,409,322,367,454,364,292,332,321,472,539,431,439,413,358,319
Asia,1,8,16,14,26,49,2,38,42,46,103,64,66,72,70,85,87,100,107,100,5,253,152,142,103,98,140,115,123,3,206,9,156,77,57,38,53,60,48,65,44,61,47,54,52,86,71,76,97,98,104,122,131,151,159,188,175,177,154,210,156,171,195,242,217,211,216,209,247,302,296,282,308,300,315,290,307,367,355,365,396,339,396,313,371,1654,339,372,356,372,361,350,382,351,295,362,344,376,357,323,380,290,453,374,359,362,323,339,357,305,355,378,384,342,352,413,386,389,350,410,407,386,385,338,400,468,463,565,548,541,511,551,645,582,647,654,659,655,668,763,827,726,742,872,912,2528,870,903,950,880,956,806,958,1012,952,939,933,880,1035,1123,1015,962,922,1157,1154,1156,1161,1042,1120,1077,1132,1443,1149,1165,1239,1270,1347,1914,1490,1398,1289,1823,1522,1334,1277,1316,1202,1557,1282,1354,1349,1357,1261,1367,1683,1465,1392,1422,1346,1541,1382
Europe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,4,3,3,5,4,8,5,19,30,29,45,56,44,151,111,196,241,195,380,286,497,498,603,639,841,1182,1429,1305,1546,1821,2228,2287,2665,2744,2542,3029,3227,3869,4166,4192,3985,3058,3552,5019,3962,4782,4450,3321,3227,3248,3581,4980,4178,4093,3198,2485,2821,3707,3388,3183,3325,2804,1775,2091,2750,2901,2288,1888,2289,1195,1538,1964,2529,1832,2054,1253,974,1188,1839,1613,1652,1354,1121,1178,834,966,1216,1027,1603,876,909,-1337,1059,1081,982,1022,784,453,485,857,909,639,868,636,365,420,820,765,531,610,520,294,338,743,706,580,1752,466,240,242,574,457,422,609,381,253,297,528,571,452,512,362,249,288,555,472,467,393,465,229,254,453,476,410,453,269,198,250,402,406,360,444,304,195,208,417,432,345,464,287,193,235,374,476,349,403,330,194,245
North America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,1,2,3,4,2,6,6,10,9,6,12,31,37,63,83,103,103,154,195,247,328,434,596,680,657,873,1295,1298,1666,1402,1394,1589,1869,2449,2267,2288,2252,2280,1982,2024,2665,2777,2486,2847,2625,1492,2040,2855,2736,2754,2492,1970,1508,1714,2527,2879,2636,2254,1951,1343,1683,2771,2761,2398,2120,1820,1193,1267,2188,2201,2239,2071,1631,1007,1005,1984,2140,1795,1872,1437,923,893,1340,2127,1775,1646,1481,987,1066,1637,2245,2014,1711,1143,702,932,1657,1763,1557,1429,1292,656,895,1677,1619,1463,1435,1122,1386,1242,1741,1810,1384,1463,1187,575,948,1489,1577,1546,1432,912,659,934,2244,1761,1843,1667,1349,829,963,1906,1679,1749,1782,1580,844,929,2174,2110,1957,2038,1770,884,1623,2375,2093,2019,2079,2024,777,886,2367,2331,2211,2171,1897,917,1325
Oceania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,5,0,1,3,1,1,2,4,4,2,5,5,5,5,1,4,5,3,2,5,1,0,5,1,1,0,1,1,11,5,1,4,0,6,2,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,3,2,3,2,4,1,4,2,4,6,6,10,6,6,9,14,8,6,7,13,11,15,8,12,12,17,18,18
South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,2,5,10,10,20,15,26,21,28,25,44,44,42,78,73,147,83,143,71,119,160,218,214,194,127,156,166,264,264,252,291,325,204,224,236,260,526,479,447,289,484,797,560,661,675,773,612,427,705,827,766,1010,794,988,660,1123,950,933,1406,976,685,999,1373,1107,1459,1317,1224,832,1168,1300,1437,1399,1383,1206,759,891,1637,1687,1773,1370,1315,879,1522,1607,1765,1703,1343,1493,1356,976,1670,1858,1888,1873,1548,1213,1035,1765,1753,1792,1610,1793,1212,1226,1734,1600,1946,1902,1759,1115,1186,1806,1814,1816,1871,1732,1215,1250,1857,1886,2000,2842,1583,1304,1343,2069,1935,5850,1916,1804,1010,1725,1717,2461,1860,2030,1571,1678,1504,1998,2255,2114,1932,1452,1516,1535
