Region,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20
Midwest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,2,2,7,7,8,11,15,28,33,38,66,58,63,84,148,163,159,183,143,193,216,298,295,306,387,289,200,265,393,370,335,410,304,199,256,399,482,443,358,266,334,259,471,456,534,345,384,185,201,458,435,397,329,388,157,190,424,394,364,343,263,118,166,425,395,327,278,297,131,92,152,382,314,272,236,127,146,315,213,275,240,176,95,105,200,194,243,170,141,54,69,168,186,191,161,153,49,64,132,124,118,95,111,37,57,140,88,135,60,26,23,35,384,101,76,96,92,55,43,71,76,113,59,96,64,60,119,100,132,95,45,38,88,145,121,124,139,83,51,48,109,124,120,144,77,32,38
Northeast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,6,11,16,30,42,60,55,109,123,155,189,293,369,457,472,624,843,907,1122,917,934,1014,1259,1617,1534,1418,1367,1487,1411,1314,1489,1756,1343,1743,1690,797,1078,1555,1368,1306,1209,1039,734,896,1157,1470,1232,1125,829,650,760,1190,1368,998,864,681,538,494,591,861,867,800,538,419,304,589,640,455,554,529,266,217,245,577,368,468,381,270,392,285,348,403,299,216,224,181,267,292,231,329,270,135,153,218,206,155,149,165,96,103,190,201,62,156,110,59,102,118,126,136,192,76,90,51,136,123,219,144,91,31,123,68,137,100,88,61,45,40,83,55,102,80,46,55,50,75,30,71,60,46,39,39,51,24,73,40,55,26,24
South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,2,4,4,9,18,14,17,13,25,30,47,48,86,73,61,72,173,131,219,149,161,177,167,323,221,265,262,244,143,219,427,297,318,341,285,185,394,395,327,456,311,252,180,216,438,395,385,238,373,173,275,431,377,368,346,262,130,207,417,290,366,317,246,142,223,313,316,304,306,182,177,155,208,378,319,283,234,148,155,295,282,229,265,170,78,166,319,263,243,237,180,75,117,304,239,202,217,177,98,150,381,245,247,230,187,102,126,295,281,289,285,117,123,179,426,394,442,395,334,233,200,476,476,534,520,427,282,303,582,769,587,670,560,305,894,752,927,676,707,727,232,360,836,941,707,781,634,351,321
West,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,1,2,3,2,1,5,3,8,7,1,4,11,13,18,10,17,15,12,23,29,47,42,39,65,37,47,88,62,109,81,80,114,94,140,126,148,118,91,94,105,133,175,165,164,158,88,96,147,240,243,254,122,67,89,168,185,148,174,96,100,90,231,170,162,184,149,54,116,184,203,176,206,162,70,73,220,220,142,129,112,35,49,90,176,181,140,125,39,82,144,163,114,140,120,44,59,155,164,167,90,167,39,52,148,118,158,142,117,37,68,142,190,128,128,89,50,78,182,190,163,114,49,61,84,276,227,271,195,166,132,23,311,274,202,245,284,54,108,324,281,296,275,240,79,92,387,354,342,334,249,78,92,374,274,337,269,300,100,142
