Continent,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20,8/4/20,8/5/20,8/6/20,8/7/20,8/8/20,8/9/20,8/10/20
Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,3,10,3,19,0,40,8,13,14,16,43,77,59,87,84,117,180,188,203,265,381,432,523,553,559,340,561,410,585,599,652,881,679,710,701,633,804,813,664,714,866,784,963,954,1168,1407,1305,1209,1173,1055,1402,1450,1707,1231,1534,1334,1627,2013,2013,1750,2196,1535,2658,2038,2546,2490,3805,2722,2727,3026,3134,2938,2961,2928,3328,2988,3668,3149,3655,4692,4115,3872,4065,4080,3562,5279,4719,5923,6224,5195,5706,4875,5139,7132,7132,6659,6122,6809,6496,6516,7395,8078,8080,8852,9623,7703,8707,7974,10122,11198,9278,8990,9144,11267,12045,11755,12009,10590,11042,11564,13415,14120,15133,15611,13562,13844,17450,14710,19199,17606,18861,16648,16137,14470,18060,20331,19540,19170,18629,15295,13864,19724,18357,22111,18234,18232,13428,13499,17559,17407,19153,16949,12655,10853,9915,15374,14258,13562,14208,12356,9055
Asia,99,282,492,675,806,2643,585,2064,1680,2102,4747,3089,4008,3743,3153,3527,2724,3023,2538,2038,377,15151,6482,2074,2112,1932,1794,419,544,606,1719,221,485,742,798,1092,1075,1488,1598,1377,1865,1231,1279,2033,1743,1213,901,1167,1750,1357,1821,1918,1957,1656,1983,2089,2254,2531,2522,3170,3076,3704,5391,5504,7019,7282,7344,7181,8896,8701,9178,8685,8971,9917,9998,9553,9750,10479,11224,12018,11491,11574,11554,11536,12350,12698,12115,12198,13909,13634,12526,12857,13058,12015,11576,11074,11936,12966,13100,13194,12063,12676,14233,15210,15378,15680,16831,15407,17963,16564,17019,17218,20626,17465,19951,20810,20814,21944,22577,24190,24183,24404,23903,21817,20158,23900,25839,28820,27646,29203,27965,30569,33381,32280,32881,34544,34553,31144,33912,36452,37864,32733,38944,44897,37231,38485,40999,41013,42778,41936,39675,40355,42188,43704,44126,46119,46227,46744,44194,46429,66495,49899,50492,53570,55648,49770,49893,53505,57432,55854,55054,54508,56298,54961,60467,60151,63532,74318,68019,60821,65275,71448,79407,74327,74232,72946,69067,77833,77632,81058,87519,77741,77398,74105,78782,83704,88734,88634,90237,84907,81003
Europe,0,2,1,0,1,4,2,0,8,5,2,8,1,1,0,2,9,3,0,3,1,1,1,1,0,1,0,1,2,18,42,98,76,108,163,269,296,374,757,563,673,1004,1420,1806,2156,2531,2881,3602,5398,3876,11604,8219,8831,10981,11500,13978,19375,20484,21643,19848,26848,24621,30974,35921,35946,36901,29879,32641,36727,37181,36263,37618,33832,27550,28640,30855,34176,33894,34209,28872,50964,25599,25075,31796,43953,32154,23671,34052,23451,27310,25519,29542,14968,24881,22134,23897,23784,20391,22767,22222,22862,21214,21057,22417,26427,24994,24101,20892,19946,23834,21959,19699,20324,20368,17332,16563,16608,19061,18249,17539,18605,16376,14698,14227,15621,15002,20290,16539,16846,14759,14226,13785,16477,16195,16391,16089,15110,14765,15021,14893,16389,17025,15907,14991,14094,15158,15633,16794,16577,14369,13096,12966,15437,14681,14712,15925,12629,10913,16065,12757,13595,13798,14001,11976,11288,15208,11809,13113,14386,14488,12970,11438,15274,12423,14691,15242,16214,12852,11522,18666,14088,15832,17231,17407,13242,12782,21730,15040,16687,19585,21003,13775,12581,21784,22530,18341,22920,24996,14602,13517,27291
North America,0,1,0,4,0,1,0,0,4,1,0,3,0,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,3,0,0,1,1,0,3,2,17,12,26,23,34,74,63,120,132,85,195,442,481,711,756,176,1611,1897,3012,5505,5613,6914,8445,10881,11110,12715,19232,19238,21194,20328,22952,27719,26957,32626,33622,34219,31365,31116,32778,33785,37205,35965,32134,30549,27501,29079,31294,34782,36061,31048,28603,30529,28438,31959,37692,39755,35885,30771,25430,27535,31044,33287,38231,33175,30084,26002,27331,29183,32184,31281,29827,23529,22127,25916,24828,31927,29912,29379,22843,26258,25599,27808,30561,29482,27590,26223,23786,24954,24071,28360,30186,29895,25554,22240,26775,26091,27978,31699,28866,23598,22867,24907,28298,30489,33267,32144,27026,24937,31142,33488,36665,39789,41187,34900,38469,45035,43448,49981,53710,50973,47730,48547,55244,61070,65668,64999,57684,59646,54158,70260,69874,75606,79615,70959,68377,68675,79297,79426,89010,84100,80150,72611,71384,76439,81967,83350,87474,79750,66691,66319,77895,82158,81405,81546,73945,56695,53982,69026,64595,71430,70880,67973,55295,59458
Oceania,0,0,0,4,1,0,1,3,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,2,3,9,15,3,6,4,13,15,16,21,0,72,51,49,80,79,124,122,122,293,529,134,416,371,524,418,580,407,452,256,364,345,285,307,226,180,153,165,127,152,117,30,55,81,45,43,68,59,51,23,27,14,15,20,26,19,10,25,10,17,18,23,23,24,30,20,20,7,23,12,22,10,9,31,16,10,10,14,8,9,15,4,15,0,12,13,11,15,19,8,10,19,8,11,7,5,7,6,2,7,11,4,5,26,15,14,23,22,18,4,52,15,21,30,41,38,9,89,80,70,86,83,65,194,186,142,176,132,173,325,180,245,183,272,238,324,424,213,365,269,363,474,411,295,356,460,555,369,282,717,605,388,637,444,413,720,484,392,451,386,339,317
South America,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,13,0,3,5,6,12,6,25,7,22,33,19,154,78,65,236,290,242,471,641,712,1136,812,836,823,1113,1183,1332,1029,988,2196,2377,2300,2021,2416,1912,2010,2866,5076,4106,5372,3073,2876,4074,3060,5195,4351,5292,5720,4333,4205,4777,5353,7416,17393,10863,6881,6942,10381,10612,12490,11624,11347,12072,12088,12953,16464,13711,15492,16974,12061,10654,15526,20060,21211,25660,25411,15279,20915,26626,30723,29298,30509,33011,26430,23035,28208,34323,40078,39679,57197,32830,25038,44796,38205,43338,42755,49777,32862,26516,43991,47816,45943,37984,40798,37637,33675,48883,42963,37418,71461,48701,31526,36206,53336,57883,56930,63653,55925,45398,37951,47374,62588,63759,58420,54039,41675,33971,60799,59862,60874,64296,57449,40999,35600,59865,57732,67035,57853,50195,43134,39740,63003,90682,83589,78925,69177,41691,55109,67227,93856,80068,80202,67335,68500,40855,77152,88371,86714,81859,71856,57485,49965
