date,name,areaType,code,dailyCases,cumulativeCases,dailyDeaths,cumulativeDeaths
2020-08-20,West Midlands,region,E12000005,150.0,29448.0,0.0,
2020-08-20,Yorkshire and The Humber,region,E12000003,159.0,35091.0,0.0,
2020-08-18,East Midlands,region,E12000004,72.0,25491.0,0.0,
2020-08-18,East of England,region,E12000006,57.0,25855.0,0.0,
2020-08-18,London,region,E12000007,169.0,37727.0,0.0,
2020-08-18,North East,region,E12000001,32.0,15809.0,0.0,
2020-08-18,North West,region,E12000002,179.0,50876.0,0.0,
2020-08-18,South East,region,E12000008,77.0,36742.0,0.0,
2020-08-18,South West,region,E12000009,57.0,14090.0,0.0,
2020-08-18,West Midlands,region,E12000005,102.0,29188.0,0.0,
2020-08-18,Yorkshire and The Humber,region,E12000003,120.0,34798.0,0.0,
2020-08-17,East Midlands,region,E12000004,136.0,25419.0,0.0,
2020-08-17,East of England,region,E12000006,58.0,25798.0,0.0,
2020-08-17,London,region,E12000007,177.0,37558.0,0.0,
2020-08-17,North East,region,E12000001,28.0,15777.0,0.0,
2020-08-17,North West,region,E12000002,272.0,50697.0,0.0,
2020-08-17,South East,region,E12000008,107.0,36665.0,0.0,
2020-08-17,South West,region,E12000009,46.0,14033.0,0.0,
2020-08-17,West Midlands,region,E12000005,136.0,29086.0,0.0,
2020-08-17,Yorkshire and The Humber,region,E12000003,123.0,34678.0,0.0,
2020-08-16,East Midlands,region,E12000004,58.0,25283.0,0.0,
2020-08-16,East of England,region,E12000006,27.0,25740.0,0.0,
2020-08-16,London,region,E12000007,87.0,37381.0,0.0,
2020-08-16,North East,region,E12000001,11.0,15749.0,0.0,
2020-08-16,North West,region,E12000002,114.0,50425.0,0.0,
2020-08-16,South East,region,E12000008,36.0,36558.0,0.0,
2020-08-16,South West,region,E12000009,35.0,13987.0,0.0,
2020-08-16,West Midlands,region,E12000005,70.0,28950.0,0.0,
2020-08-16,Yorkshire and The Humber,region,E12000003,78.0,34555.0,0.0,
2020-08-15,East Midlands,region,E12000004,55.0,25225.0,0.0,
2020-08-15,East of England,region,E12000006,29.0,25713.0,0.0,
2020-08-15,London,region,E12000007,102.0,37294.0,0.0,
2020-08-15,North East,region,E12000001,18.0,15738.0,0.0,
2020-08-15,North West,region,E12000002,156.0,50311.0,0.0,
2020-08-15,South East,region,E12000008,44.0,36522.0,0.0,
2020-08-15,South West,region,E12000009,25.0,13952.0,0.0,
2020-08-15,West Midlands,region,E12000005,96.0,28880.0,0.0,
2020-08-15,Yorkshire and The Humber,region,E12000003,108.0,34477.0,0.0,
2020-08-14,East Midlands,region,E12000004,87.0,25170.0,0.0,
2020-08-14,East of England,region,E12000006,67.0,25684.0,0.0,
2020-08-14,London,region,E12000007,125.0,37192.0,0.0,
2020-08-14,North East,region,E12000001,31.0,15720.0,0.0,
2020-08-14,North West,region,E12000002,241.0,50155.0,0.0,
2020-08-14,South East,region,E12000008,95.0,36478.0,0.0,
2020-08-14,South West,region,E12000009,55.0,13927.0,0.0,
2020-08-14,West Midlands,region,E12000005,170.0,28784.0,0.0,
2020-08-14,Yorkshire and The Humber,region,E12000003,161.0,34369.0,0.0,
2020-08-13,East Midlands,region,E12000004,110.0,25083.0,0.0,
2020-08-13,East of England,region,E12000006,61.0,25617.0,0.0,
2020-08-13,London,region,E12000007,124.0,37067.0,0.0,
2020-08-13,North East,region,E12000001,53.0,15689.0,0.0,
2020-08-13,North West,region,E12000002,237.0,49914.0,0.0,
2020-08-13,South East,region,E12000008,76.0,36383.0,0.0,
2020-08-13,South West,region,E12000009,54.0,13872.0,0.0,
2020-08-13,West Midlands,region,E12000005,116.0,28614.0,0.0,
2020-08-13,Yorkshire and The Humber,region,E12000003,177.0,34208.0,0.0,
2020-08-12,East Midlands,region,E12000004,121.0,24973.0,0.0,
2020-08-12,East of England,region,E12000006,65.0,25556.0,0.0,
2020-08-12,London,region,E12000007,150.0,36943.0,0.0,
2020-08-12,North East,region,E12000001,39.0,15636.0,0.0,
2020-08-12,North West,region,E12000002,277.0,49677.0,0.0,
2020-08-12,South East,region,E12000008,83.0,36307.0,0.0,
2020-08-12,South West,region,E12000009,43.0,13818.0,0.0,
2020-08-12,West Midlands,region,E12000005,132.0,28498.0,0.0,
2020-08-12,Yorkshire and The Humber,region,E12000003,171.0,34031.0,0.0,
2020-08-11,East Midlands,region,E12000004,177.0,24852.0,0.0,
2020-08-11,East of England,region,E12000006,44.0,25491.0,0.0,
2020-08-11,London,region,E12000007,149.0,36793.0,0.0,
2020-08-11,North East,region,E12000001,45.0,15597.0,0.0,
2020-08-11,North West,region,E12000002,309.0,49400.0,0.0,
2020-08-11,South East,region,E12000008,76.0,36224.0,0.0,
2020-08-11,South West,region,E12000009,41.0,13775.0,0.0,
2020-08-11,West Midlands,region,E12000005,165.0,28366.0,0.0,
2020-08-11,Yorkshire and The Humber,region,E12000003,185.0,33860.0,0.0,
2020-08-10,East Midlands,region,E12000004,212.0,24675.0,0.0,
2020-08-10,East of England,region,E12000006,67.0,25447.0,0.0,
2020-08-10,London,region,E12000007,142.0,36644.0,0.0,
2020-08-10,North East,region,E12000001,21.0,15552.0,0.0,
2020-08-10,North West,region,E12000002,359.0,49091.0,0.0,
2020-08-10,South East,region,E12000008,113.0,36148.0,0.0,
2020-08-10,South West,region,E12000009,42.0,13734.0,0.0,
2020-08-10,West Midlands,region,E12000005,157.0,28201.0,0.0,
2020-08-10,Yorkshire and The Humber,region,E12000003,221.0,33675.0,0.0,
2020-08-09,East Midlands,region,E12000004,72.0,24463.0,0.0,
2020-08-09,East of England,region,E12000006,21.0,25380.0,0.0,
2020-08-09,London,region,E12000007,67.0,36502.0,0.0,
2020-08-09,North East,region,E12000001,14.0,15531.0,0.0,
2020-08-09,North West,region,E12000002,156.0,48732.0,0.0,
2020-08-09,South East,region,E12000008,29.0,36035.0,0.0,
2020-08-09,South West,region,E12000009,15.0,13692.0,0.0,
