,Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
1201,Isle of Anglesey,2020-02-07,0,0,0.0,0,0
1202,Isle of Anglesey,2020-02-06,0,0,0.0,0,0
1203,Isle of Anglesey,2020-02-05,0,0,0.0,0,0
1204,Isle of Anglesey,2020-02-04,0,0,0.0,0,0
1205,Isle of Anglesey,2020-02-03,0,0,0.0,0,0
1206,Isle of Anglesey,2020-02-02,0,0,0.0,0,0
1207,Isle of Anglesey,2020-02-01,0,0,0.0,0,0
1208,Isle of Anglesey,2020-01-31,0,0,0.0,0,0
1209,Isle of Anglesey,2020-01-30,0,0,0.0,0,0
1210,Isle of Anglesey,2020-01-29,0,0,0.0,0,0
1211,Isle of Anglesey,2020-01-28,0,0,0.0,0,0
1212,Isle of Anglesey,2020-01-27,0,0,0.0,0,0
1213,Isle of Anglesey,2020-01-26,0,0,0.0,0,0
1214,Isle of Anglesey,2020-01-25,0,0,0.0,0,0
1215,Isle of Anglesey,2020-01-24,0,0,0.0,0,0
1216,Isle of Anglesey,2020-01-23,0,0,0.0,0,0
1217,Isle of Anglesey,2020-01-22,0,0,0.0,0,0
1218,Isle of Anglesey,2020-01-21,0,0,0.0,0,0
1219,Isle of Anglesey,2020-01-20,0,0,0.0,0,0
1220,Isle of Anglesey,2020-01-19,0,0,0.0,0,0
1221,Isle of Anglesey,2020-01-18,0,0,0.0,0,0
1222,Isle of Anglesey,2020-01-17,0,0,0.0,0,0
1223,Isle of Anglesey,2020-01-16,0,0,0.0,0,0
1224,Isle of Anglesey,2020-01-15,0,0,0.0,0,0
1225,Isle of Anglesey,2020-01-14,0,0,0.0,0,0
1226,Isle of Anglesey,2020-01-13,0,0,0.0,0,0
1227,Isle of Anglesey,2020-01-12,0,0,0.0,0,0
1228,Isle of Anglesey,2020-01-11,0,0,0.0,0,0
1229,Isle of Anglesey,2020-01-10,0,0,0.0,0,0
1230,Isle of Anglesey,2020-01-09,0,0,0.0,0,0
1231,Isle of Anglesey,2020-01-08,0,0,0.0,0,0
1232,Merthyr Tydfil,2020-04-28,0,239,397.1,0,652
1233,Merthyr Tydfil,2020-04-27,0,239,397.1,1,652
1234,Merthyr Tydfil,2020-04-26,3,239,397.1,9,651
1235,Merthyr Tydfil,2020-04-25,3,236,392.1,15,642
1236,Merthyr Tydfil,2020-04-24,3,233,387.20000000000005,20,627
1237,Merthyr Tydfil,2020-04-23,8,230,382.20000000000005,28,607
1238,Merthyr Tydfil,2020-04-22,7,222,368.90000000000003,24,579
1239,Merthyr Tydfil,2020-04-21,11,215,357.20000000000005,36,555
1240,Merthyr Tydfil,2020-04-20,7,204,339.0,20,519
1241,Merthyr Tydfil,2020-04-19,3,197,327.3,11,499
1242,Merthyr Tydfil,2020-04-18,5,194,322.40000000000003,13,488
1243,Merthyr Tydfil,2020-04-17,14,189,314.0,30,475
1244,Merthyr Tydfil,2020-04-16,15,175,290.8,28,445
1245,Merthyr Tydfil,2020-04-15,18,160,265.90000000000003,32,417
1246,Merthyr Tydfil,2020-04-14,6,142,235.9,13,385
1247,Merthyr Tydfil,2020-04-13,2,136,226.0,7,372
1248,Merthyr Tydfil,2020-04-12,7,134,222.70000000000002,15,365
1249,Merthyr Tydfil,2020-04-11,4,127,211.0,10,350
1250,Merthyr Tydfil,2020-04-10,4,123,204.4,11,340
1251,Merthyr Tydfil,2020-04-09,9,119,197.70000000000002,20,329
1252,Merthyr Tydfil,2020-04-08,10,110,182.8,27,309
1253,Merthyr Tydfil,2020-04-07,13,100,166.20000000000002,18,282
1254,Merthyr Tydfil,2020-04-06,12,87,144.6,17,264
1255,Merthyr Tydfil,2020-04-05,8,75,124.60000000000001,13,247
1256,Merthyr Tydfil,2020-04-04,3,67,111.30000000000001,12,234
1257,Merthyr Tydfil,2020-04-03,7,64,106.30000000000001,22,222
1258,Merthyr Tydfil,2020-04-02,6,57,94.7,12,200
1259,Merthyr Tydfil,2020-04-01,10,51,84.7,28,188
1260,Merthyr Tydfil,2020-03-31,3,41,68.10000000000001,5,160
1261,Merthyr Tydfil,2020-03-30,9,38,63.1,24,155
1262,Merthyr Tydfil,2020-03-29,5,29,48.2,10,131
1263,Merthyr Tydfil,2020-03-28,2,24,39.900000000000006,9,121
1264,Merthyr Tydfil,2020-03-27,5,22,36.6,15,112
1265,Merthyr Tydfil,2020-03-26,5,17,28.200000000000003,22,97
1266,Merthyr Tydfil,2020-03-25,6,12,19.900000000000002,15,75
1267,Merthyr Tydfil,2020-03-24,2,6,10.0,16,60
1268,Merthyr Tydfil,2020-03-23,1,4,6.6000000000000005,3,44
1269,Merthyr Tydfil,2020-03-22,0,3,5.0,9,41
1270,Merthyr Tydfil,2020-03-21,1,3,5.0,7,32
1271,Merthyr Tydfil,2020-03-20,0,2,3.3000000000000003,6,25
1272,Merthyr Tydfil,2020-03-19,0,2,3.3000000000000003,6,19
1273,Merthyr Tydfil,2020-03-18,0,2,3.3000000000000003,1,13
1274,Merthyr Tydfil,2020-03-17,2,2,3.3000000000000003,12,12
1275,Merthyr Tydfil,2020-03-16,0,0,0.0,0,0
1276,Merthyr Tydfil,2020-03-15,0,0,0.0,0,0
1277,Merthyr Tydfil,2020-03-14,0,0,0.0,0,0
1278,Merthyr Tydfil,2020-03-13,0,0,0.0,0,0
1279,Merthyr Tydfil,2020-03-12,0,0,0.0,0,0
1280,Merthyr Tydfil,2020-03-11,0,0,0.0,0,0
1281,Merthyr Tydfil,2020-03-10,0,0,0.0,0,0
1282,Merthyr Tydfil,2020-03-09,0,0,0.0,0,0
1283,Merthyr Tydfil,2020-03-08,0,0,0.0,0,0
1284,Merthyr Tydfil,2020-03-07,0,0,0.0,0,0
1285,Merthyr Tydfil,2020-03-06,0,0,0.0,0,0
1286,Merthyr Tydfil,2020-03-05,0,0,0.0,0,0
1287,Merthyr Tydfil,2020-03-04,0,0,0.0,0,0
1288,Merthyr Tydfil,2020-03-03,0,0,0.0,0,0
1289,Merthyr Tydfil,2020-03-02,0,0,0.0,0,0
1290,Merthyr Tydfil,2020-03-01,0,0,0.0,0,0
1291,Merthyr Tydfil,2020-02-29,0,0,0.0,0,0
1292,Merthyr Tydfil,2020-02-28,0,0,0.0,0,0
1293,Merthyr Tydfil,2020-02-27,0,0,0.0,0,0
1294,Merthyr Tydfil,2020-02-26,0,0,0.0,0,0
1295,Merthyr Tydfil,2020-02-25,0,0,0.0,0,0
1296,Merthyr Tydfil,2020-02-24,0,0,0.0,0,0
1297,Merthyr Tydfil,2020-02-23,0,0,0.0,0,0
1298,Merthyr Tydfil,2020-02-22,0,0,0.0,0,0
1299,Merthyr Tydfil,2020-02-21,0,0,0.0,0,0
1300,Merthyr Tydfil,2020-02-20,0,0,0.0,0,0
1301,Merthyr Tydfil,2020-02-19,0,0,0.0,0,0
1302,Merthyr Tydfil,2020-02-18,0,0,0.0,0,0
1303,Merthyr Tydfil,2020-02-17,0,0,0.0,0,0
1304,Merthyr Tydfil,2020-02-16,0,0,0.0,0,0
1305,Merthyr Tydfil,2020-02-15,0,0,0.0,0,0
1306,Merthyr Tydfil,2020-02-14,0,0,0.0,0,0
1307,Merthyr Tydfil,2020-02-13,0,0,0.0,0,0
1308,Merthyr Tydfil,2020-02-12,0,0,0.0,0,0
1309,Merthyr Tydfil,2020-02-11,0,0,0.0,0,0
1310,Merthyr Tydfil,2020-02-10,0,0,0.0,0,0
1311,Merthyr Tydfil,2020-02-09,0,0,0.0,0,0
1312,Merthyr Tydfil,2020-02-08,0,0,0.0,0,0
1313,Merthyr Tydfil,2020-02-07,0,0,0.0,0,0
1314,Merthyr Tydfil,2020-02-06,0,0,0.0,0,0
1315,Merthyr Tydfil,2020-02-05,0,0,0.0,0,0
1316,Merthyr Tydfil,2020-02-04,0,0,0.0,0,0
1317,Merthyr Tydfil,2020-02-03,0,0,0.0,0,0
1318,Merthyr Tydfil,2020-02-02,0,0,0.0,0,0
1319,Merthyr Tydfil,2020-02-01,0,0,0.0,0,0
1320,Merthyr Tydfil,2020-01-31,0,0,0.0,0,0
1321,Merthyr Tydfil,2020-01-30,0,0,0.0,0,0
1322,Merthyr Tydfil,2020-01-29,0,0,0.0,0,0
1323,Merthyr Tydfil,2020-01-28,0,0,0.0,0,0
1324,Merthyr Tydfil,2020-01-27,0,0,0.0,0,0
1325,Merthyr Tydfil,2020-01-26,0,0,0.0,0,0
1326,Merthyr Tydfil,2020-01-25,0,0,0.0,0,0
1327,Merthyr Tydfil,2020-01-24,0,0,0.0,0,0
1328,Merthyr Tydfil,2020-01-23,0,0,0.0,0,0
1329,Merthyr Tydfil,2020-01-22,0,0,0.0,0,0
1330,Merthyr Tydfil,2020-01-21,0,0,0.0,0,0
1331,Merthyr Tydfil,2020-01-20,0,0,0.0,0,0
1332,Merthyr Tydfil,2020-01-19,0,0,0.0,0,0
1333,Merthyr Tydfil,2020-01-18,0,0,0.0,0,0
1334,Merthyr Tydfil,2020-01-17,0,0,0.0,0,0
1335,Merthyr Tydfil,2020-01-16,0,0,0.0,0,0
1336,Merthyr Tydfil,2020-01-15,0,0,0.0,0,0
1337,Merthyr Tydfil,2020-01-14,0,0,0.0,0,0
1338,Merthyr Tydfil,2020-01-13,0,0,0.0,0,0
1339,Merthyr Tydfil,2020-01-12,0,0,0.0,0,0
1340,Merthyr Tydfil,2020-01-11,0,0,0.0,0,0
1341,Merthyr Tydfil,2020-01-10,0,0,0.0,0,0
1342,Merthyr Tydfil,2020-01-09,0,0,0.0,0,0
1343,Merthyr Tydfil,2020-01-08,0,0,0.0,0,0
1344,Monmouthshire,2020-04-28,0,233,247.5,1,729
1345,Monmouthshire,2020-04-27,0,233,247.5,0,728
1346,Monmouthshire,2020-04-26,0,233,247.5,2,728
1347,Monmouthshire,2020-04-25,1,233,247.5,11,726
1348,Monmouthshire,2020-04-24,2,232,246.4,19,715
1349,Monmouthshire,2020-04-23,1,230,244.3,8,696
1350,Monmouthshire,2020-04-22,5,229,243.20000000000002,25,688
1351,Monmouthshire,2020-04-21,3,224,237.9,19,663
1352,Monmouthshire,2020-04-20,2,221,234.8,24,644
1353,Monmouthshire,2020-04-19,4,219,232.60000000000002,8,620
1354,Monmouthshire,2020-04-18,2,215,228.4,16,612
1355,Monmouthshire,2020-04-17,5,213,226.3,19,596
1356,Monmouthshire,2020-04-16,6,208,220.9,20,577
1357,Monmouthshire,2020-04-15,6,202,214.60000000000002,21,557
1358,Monmouthshire,2020-04-14,5,196,208.20000000000002,14,536
1359,Monmouthshire,2020-04-13,6,191,202.9,12,522
1360,Monmouthshire,2020-04-12,3,185,196.5,9,510
1361,Monmouthshire,2020-04-11,3,182,193.3,6,501
1362,Monmouthshire,2020-04-10,8,179,190.10000000000002,22,495
1363,Monmouthshire,2020-04-09,14,171,181.60000000000002,18,473
1364,Monmouthshire,2020-04-08,13,157,166.8,27,455
1365,Monmouthshire,2020-04-07,5,144,153.0,15,428
1366,Monmouthshire,2020-04-06,10,139,147.6,31,413
1367,Monmouthshire,2020-04-05,6,129,137.0,9,382
1368,Monmouthshire,2020-04-04,10,123,130.70000000000002,20,373
1369,Monmouthshire,2020-04-03,7,113,120.0,18,353
1370,Monmouthshire,2020-04-02,6,106,112.60000000000001,22,335
1371,Monmouthshire,2020-04-01,6,100,106.2,25,313
1372,Monmouthshire,2020-03-31,3,94,99.80000000000001,17,288
1373,Monmouthshire,2020-03-30,11,91,96.7,23,271
1374,Monmouthshire,2020-03-29,5,80,85.0,14,248
1375,Monmouthshire,2020-03-28,7,75,79.7,12,234
1376,Monmouthshire,2020-03-27,3,68,72.2,10,222
1377,Monmouthshire,2020-03-26,5,65,69.0,22,212
1378,Monmouthshire,2020-03-25,7,60,63.7,21,190
1379,Monmouthshire,2020-03-24,3,53,56.300000000000004,13,169
1380,Monmouthshire,2020-03-23,9,50,53.1,24,156
1381,Monmouthshire,2020-03-22,4,41,43.6,17,132
1382,Monmouthshire,2020-03-21,5,37,39.300000000000004,23,115
1383,Monmouthshire,2020-03-20,4,32,34.0,16,92
1384,Monmouthshire,2020-03-19,9,28,29.700000000000003,19,76
1385,Monmouthshire,2020-03-18,3,19,20.200000000000003,11,57
1386,Monmouthshire,2020-03-17,16,16,17.0,46,46
1387,Monmouthshire,2020-03-16,0,0,0.0,0,0
1388,Monmouthshire,2020-03-15,0,0,0.0,0,0
1389,Monmouthshire,2020-03-14,0,0,0.0,0,0
1390,Monmouthshire,2020-03-13,0,0,0.0,0,0
1391,Monmouthshire,2020-03-12,0,0,0.0,0,0
1392,Monmouthshire,2020-03-11,0,0,0.0,0,0
1393,Monmouthshire,2020-03-10,0,0,0.0,0,0
1394,Monmouthshire,2020-03-09,0,0,0.0,0,0
1395,Monmouthshire,2020-03-08,0,0,0.0,0,0
1396,Monmouthshire,2020-03-07,0,0,0.0,0,0
1397,Monmouthshire,2020-03-06,0,0,0.0,0,0
1398,Monmouthshire,2020-03-05,0,0,0.0,0,0
1399,Monmouthshire,2020-03-04,0,0,0.0,0,0
1400,Monmouthshire,2020-03-03,0,0,0.0,0,0
1401,Monmouthshire,2020-03-02,0,0,0.0,0,0
1402,Monmouthshire,2020-03-01,0,0,0.0,0,0
1403,Monmouthshire,2020-02-29,0,0,0.0,0,0
1404,Monmouthshire,2020-02-28,0,0,0.0,0,0
1405,Monmouthshire,2020-02-27,0,0,0.0,0,0
1406,Monmouthshire,2020-02-26,0,0,0.0,0,0
1407,Monmouthshire,2020-02-25,0,0,0.0,0,0
1408,Monmouthshire,2020-02-24,0,0,0.0,0,0
1409,Monmouthshire,2020-02-23,0,0,0.0,0,0
1410,Monmouthshire,2020-02-22,0,0,0.0,0,0
1411,Monmouthshire,2020-02-21,0,0,0.0,0,0
1412,Monmouthshire,2020-02-20,0,0,0.0,0,0
1413,Monmouthshire,2020-02-19,0,0,0.0,0,0
1414,Monmouthshire,2020-02-18,0,0,0.0,0,0
1415,Monmouthshire,2020-02-17,0,0,0.0,0,0
1416,Monmouthshire,2020-02-16,0,0,0.0,0,0
1417,Monmouthshire,2020-02-15,0,0,0.0,0,0
1418,Monmouthshire,2020-02-14,0,0,0.0,0,0
1419,Monmouthshire,2020-02-13,0,0,0.0,0,0
1420,Monmouthshire,2020-02-12,0,0,0.0,0,0
1421,Monmouthshire,2020-02-11,0,0,0.0,0,0
1422,Monmouthshire,2020-02-10,0,0,0.0,0,0
1423,Monmouthshire,2020-02-09,0,0,0.0,0,0
1424,Monmouthshire,2020-02-08,0,0,0.0,0,0
1425,Monmouthshire,2020-02-07,0,0,0.0,0,0
1426,Monmouthshire,2020-02-06,0,0,0.0,0,0
1427,Monmouthshire,2020-02-05,0,0,0.0,0,0
1428,Monmouthshire,2020-02-04,0,0,0.0,0,0
1429,Monmouthshire,2020-02-03,0,0,0.0,0,0
1430,Monmouthshire,2020-02-02,0,0,0.0,0,0
1431,Monmouthshire,2020-02-01,0,0,0.0,0,0
1432,Monmouthshire,2020-01-31,0,0,0.0,0,0
1433,Monmouthshire,2020-01-30,0,0,0.0,0,0
1434,Monmouthshire,2020-01-29,0,0,0.0,0,0
1435,Monmouthshire,2020-01-28,0,0,0.0,0,0
1436,Monmouthshire,2020-01-27,0,0,0.0,0,0
1437,Monmouthshire,2020-01-26,0,0,0.0,0,0
1438,Monmouthshire,2020-01-25,0,0,0.0,0,0
1439,Monmouthshire,2020-01-24,0,0,0.0,0,0
1440,Monmouthshire,2020-01-23,0,0,0.0,0,0
1441,Monmouthshire,2020-01-22,0,0,0.0,0,0
1442,Monmouthshire,2020-01-21,0,0,0.0,0,0
1443,Monmouthshire,2020-01-20,0,0,0.0,0,0
1444,Monmouthshire,2020-01-19,0,0,0.0,0,0
1445,Monmouthshire,2020-01-18,0,0,0.0,0,0
1446,Monmouthshire,2020-01-17,0,0,0.0,0,0
1447,Monmouthshire,2020-01-16,0,0,0.0,0,0
1448,Monmouthshire,2020-01-15,0,0,0.0,0,0
1449,Monmouthshire,2020-01-14,0,0,0.0,0,0
1450,Monmouthshire,2020-01-13,0,0,0.0,0,0
1451,Monmouthshire,2020-01-12,0,0,0.0,0,0
1452,Monmouthshire,2020-01-11,0,0,0.0,0,0
1453,Monmouthshire,2020-01-10,0,0,0.0,0,0
1454,Monmouthshire,2020-01-09,0,0,0.0,0,0
1455,Monmouthshire,2020-01-08,0,0,0.0,0,0
1456,Neath Port Talbot,2020-04-28,0,483,338.0,0,1337
1457,Neath Port Talbot,2020-04-27,0,483,338.0,0,1337
1458,Neath Port Talbot,2020-04-26,3,483,338.0,21,1337
1459,Neath Port Talbot,2020-04-25,13,480,335.90000000000003,32,1316
1460,Neath Port Talbot,2020-04-24,13,467,326.8,45,1284
1461,Neath Port Talbot,2020-04-23,6,454,317.70000000000005,35,1239
1462,Neath Port Talbot,2020-04-22,15,448,313.5,42,1204
1463,Neath Port Talbot,2020-04-21,11,433,303.0,36,1162
1464,Neath Port Talbot,2020-04-20,16,422,295.3,50,1126
1465,Neath Port Talbot,2020-04-19,10,406,284.1,27,1076
1466,Neath Port Talbot,2020-04-18,14,396,277.1,28,1049
1467,Neath Port Talbot,2020-04-17,19,382,267.3,45,1021
1468,Neath Port Talbot,2020-04-16,25,363,254.0,54,976
1469,Neath Port Talbot,2020-04-15,25,338,236.5,62,922
1470,Neath Port Talbot,2020-04-14,15,313,219.0,36,860
1471,Neath Port Talbot,2020-04-13,16,298,208.5,38,824
1472,Neath Port Talbot,2020-04-12,17,282,197.3,48,786
1473,Neath Port Talbot,2020-04-11,9,265,185.4,25,738
1474,Neath Port Talbot,2020-04-10,23,256,179.10000000000002,48,713
1475,Neath Port Talbot,2020-04-09,14,233,163.0,40,665
1476,Neath Port Talbot,2020-04-08,19,219,153.20000000000002,52,625
1477,Neath Port Talbot,2020-04-07,23,200,140.0,43,573
1478,Neath Port Talbot,2020-04-06,9,177,123.9,25,530
1479,Neath Port Talbot,2020-04-05,20,168,117.60000000000001,39,505
1480,Neath Port Talbot,2020-04-04,16,148,103.60000000000001,38,466
1481,Neath Port Talbot,2020-04-03,17,132,92.4,38,428
1482,Neath Port Talbot,2020-04-02,13,115,80.5,42,390
1483,Neath Port Talbot,2020-04-01,8,102,71.4,27,348
1484,Neath Port Talbot,2020-03-31,14,94,65.8,32,321
1485,Neath Port Talbot,2020-03-30,22,80,56.0,41,289
1486,Neath Port Talbot,2020-03-29,6,58,40.6,13,248
1487,Neath Port Talbot,2020-03-28,6,52,36.4,9,235
1488,Neath Port Talbot,2020-03-27,14,46,32.2,23,226
1489,Neath Port Talbot,2020-03-26,6,32,22.400000000000002,22,203
1490,Neath Port Talbot,2020-03-25,1,26,18.2,18,181
1491,Neath Port Talbot,2020-03-24,1,25,17.5,18,163
1492,Neath Port Talbot,2020-03-23,1,24,16.8,13,145
1493,Neath Port Talbot,2020-03-22,3,23,16.1,13,132
1494,Neath Port Talbot,2020-03-21,3,20,14.0,15,119
1495,Neath Port Talbot,2020-03-20,2,17,11.9,19,104
1496,Neath Port Talbot,2020-03-19,1,15,10.5,14,85
1497,Neath Port Talbot,2020-03-18,1,14,9.8,11,71
1498,Neath Port Talbot,2020-03-17,13,13,9.1,58,60
1499,Neath Port Talbot,2020-03-16,0,0,0.0,0,2
1500,Neath Port Talbot,2020-03-15,0,0,0.0,0,2
1501,Neath Port Talbot,2020-03-14,0,0,0.0,0,2
1502,Neath Port Talbot,2020-03-13,0,0,0.0,0,2
1503,Neath Port Talbot,2020-03-12,0,0,0.0,0,2
1504,Neath Port Talbot,2020-03-11,0,0,0.0,0,2
1505,Neath Port Talbot,2020-03-10,0,0,0.0,0,2
1506,Neath Port Talbot,2020-03-09,0,0,0.0,0,2
1507,Neath Port Talbot,2020-03-08,0,0,0.0,0,2
1508,Neath Port Talbot,2020-03-07,0,0,0.0,0,2
1509,Neath Port Talbot,2020-03-06,0,0,0.0,0,2
1510,Neath Port Talbot,2020-03-05,0,0,0.0,0,2
1511,Neath Port Talbot,2020-03-04,0,0,0.0,0,2
1512,Neath Port Talbot,2020-03-03,0,0,0.0,1,2
1513,Neath Port Talbot,2020-03-02,0,0,0.0,0,1
1514,Neath Port Talbot,2020-03-01,0,0,0.0,0,1
1515,Neath Port Talbot,2020-02-29,0,0,0.0,0,1
1516,Neath Port Talbot,2020-02-28,0,0,0.0,0,1
1517,Neath Port Talbot,2020-02-27,0,0,0.0,0,1
1518,Neath Port Talbot,2020-02-26,0,0,0.0,0,1
1519,Neath Port Talbot,2020-02-25,0,0,0.0,0,1
1520,Neath Port Talbot,2020-02-24,0,0,0.0,0,1
1521,Neath Port Talbot,2020-02-23,0,0,0.0,1,1
1522,Neath Port Talbot,2020-02-22,0,0,0.0,0,0
1523,Neath Port Talbot,2020-02-21,0,0,0.0,0,0
1524,Neath Port Talbot,2020-02-20,0,0,0.0,0,0
1525,Neath Port Talbot,2020-02-19,0,0,0.0,0,0
1526,Neath Port Talbot,2020-02-18,0,0,0.0,0,0
1527,Neath Port Talbot,2020-02-17,0,0,0.0,0,0
1528,Neath Port Talbot,2020-02-16,0,0,0.0,0,0
1529,Neath Port Talbot,2020-02-15,0,0,0.0,0,0
1530,Neath Port Talbot,2020-02-14,0,0,0.0,0,0
1531,Neath Port Talbot,2020-02-13,0,0,0.0,0,0
1532,Neath Port Talbot,2020-02-12,0,0,0.0,0,0
1533,Neath Port Talbot,2020-02-11,0,0,0.0,0,0
1534,Neath Port Talbot,2020-02-10,0,0,0.0,0,0
1535,Neath Port Talbot,2020-02-09,0,0,0.0,0,0
1536,Neath Port Talbot,2020-02-08,0,0,0.0,0,0
1537,Neath Port Talbot,2020-02-07,0,0,0.0,0,0
1538,Neath Port Talbot,2020-02-06,0,0,0.0,0,0
1539,Neath Port Talbot,2020-02-05,0,0,0.0,0,0
1540,Neath Port Talbot,2020-02-04,0,0,0.0,0,0
1541,Neath Port Talbot,2020-02-03,0,0,0.0,0,0
1542,Neath Port Talbot,2020-02-02,0,0,0.0,0,0
1543,Neath Port Talbot,2020-02-01,0,0,0.0,0,0
1544,Neath Port Talbot,2020-01-31,0,0,0.0,0,0
1545,Neath Port Talbot,2020-01-30,0,0,0.0,0,0
1546,Neath Port Talbot,2020-01-29,0,0,0.0,0,0
1547,Neath Port Talbot,2020-01-28,0,0,0.0,0,0
1548,Neath Port Talbot,2020-01-27,0,0,0.0,0,0
1549,Neath Port Talbot,2020-01-26,0,0,0.0,0,0
1550,Neath Port Talbot,2020-01-25,0,0,0.0,0,0
1551,Neath Port Talbot,2020-01-24,0,0,0.0,0,0
1552,Neath Port Talbot,2020-01-23,0,0,0.0,0,0
1553,Neath Port Talbot,2020-01-22,0,0,0.0,0,0
1554,Neath Port Talbot,2020-01-21,0,0,0.0,0,0
1555,Neath Port Talbot,2020-01-20,0,0,0.0,0,0
1556,Neath Port Talbot,2020-01-19,0,0,0.0,0,0
1557,Neath Port Talbot,2020-01-18,0,0,0.0,0,0
1558,Neath Port Talbot,2020-01-17,0,0,0.0,0,0
1559,Neath Port Talbot,2020-01-16,0,0,0.0,0,0
1560,Neath Port Talbot,2020-01-15,0,0,0.0,0,0
1561,Neath Port Talbot,2020-01-14,0,0,0.0,0,0
1562,Neath Port Talbot,2020-01-13,0,0,0.0,0,0
1563,Neath Port Talbot,2020-01-12,0,0,0.0,0,0
1564,Neath Port Talbot,2020-01-11,0,0,0.0,0,0
1565,Neath Port Talbot,2020-01-10,0,0,0.0,0,0
1566,Neath Port Talbot,2020-01-09,0,0,0.0,0,0
1567,Neath Port Talbot,2020-01-08,0,0,0.0,0,0
1568,Newport,2020-04-28,0,679,442.90000000000003,0,1675
1569,Newport,2020-04-27,0,679,442.90000000000003,3,1675
1570,Newport,2020-04-26,5,679,442.90000000000003,15,1672
1571,Newport,2020-04-25,3,674,439.70000000000005,26,1657
1572,Newport,2020-04-24,7,671,437.70000000000005,48,1631
1573,Newport,2020-04-23,6,664,433.1,29,1583
1574,Newport,2020-04-22,10,658,429.20000000000005,48,1554
1575,Newport,2020-04-21,17,648,422.70000000000005,46,1506
1576,Newport,2020-04-20,10,631,411.6,39,1460
1577,Newport,2020-04-19,4,621,405.1,22,1421
1578,Newport,2020-04-18,9,617,402.5,41,1399
1579,Newport,2020-04-17,10,608,396.6,38,1358
1580,Newport,2020-04-16,11,598,390.1,55,1320
1581,Newport,2020-04-15,9,587,382.90000000000003,38,1265
1582,Newport,2020-04-14,13,578,377.0,35,1227
1583,Newport,2020-04-13,9,565,368.6,25,1192
1584,Newport,2020-04-12,7,556,362.70000000000005,18,1167
1585,Newport,2020-04-11,10,549,358.1,27,1149
1586,Newport,2020-04-10,18,539,351.6,46,1122
1587,Newport,2020-04-09,17,521,339.90000000000003,39,1076
1588,Newport,2020-04-08,25,504,328.8,47,1037
1589,Newport,2020-04-07,23,479,312.5,39,990
1590,Newport,2020-04-06,15,456,297.5,35,951
1591,Newport,2020-04-05,5,441,287.7,13,916
1592,Newport,2020-04-04,16,436,284.40000000000003,44,903
1593,Newport,2020-04-03,22,420,274.0,48,859
1594,Newport,2020-04-02,28,398,259.6,49,811
1595,Newport,2020-04-01,34,370,241.4,70,762
1596,Newport,2020-03-31,27,336,219.20000000000002,51,692
1597,Newport,2020-03-30,32,309,201.60000000000002,51,641
1598,Newport,2020-03-29,22,277,180.70000000000002,43,590
1599,Newport,2020-03-28,25,255,166.3,44,547
1600,Newport,2020-03-27,15,230,150.0,43,503
1601,Newport,2020-03-26,24,215,140.20000000000002,49,460
1602,Newport,2020-03-25,37,191,124.60000000000001,67,411
1603,Newport,2020-03-24,22,154,100.5,51,344
1604,Newport,2020-03-23,26,132,86.10000000000001,40,293
1605,Newport,2020-03-22,15,106,69.10000000000001,31,253
1606,Newport,2020-03-21,16,91,59.400000000000006,41,222
1607,Newport,2020-03-20,18,75,48.900000000000006,43,181
1608,Newport,2020-03-19,8,57,37.2,29,138
1609,Newport,2020-03-18,3,49,32.0,14,109
1610,Newport,2020-03-17,40,46,30.0,86,95
1611,Newport,2020-03-16,5,6,3.9000000000000004,6,9
1612,Newport,2020-03-15,1,1,0.7000000000000001,1,3
1613,Newport,2020-03-14,0,0,0.0,0,2
1614,Newport,2020-03-13,0,0,0.0,1,2
1615,Newport,2020-03-12,0,0,0.0,0,1
1616,Newport,2020-03-11,0,0,0.0,0,1
1617,Newport,2020-03-10,0,0,0.0,0,1
1618,Newport,2020-03-09,0,0,0.0,0,1
1619,Newport,2020-03-08,0,0,0.0,0,1
1620,Newport,2020-03-07,0,0,0.0,0,1
1621,Newport,2020-03-06,0,0,0.0,0,1
1622,Newport,2020-03-05,0,0,0.0,0,1
1623,Newport,2020-03-04,0,0,0.0,0,1
1624,Newport,2020-03-03,0,0,0.0,0,1
1625,Newport,2020-03-02,0,0,0.0,0,1
1626,Newport,2020-03-01,0,0,0.0,0,1
1627,Newport,2020-02-29,0,0,0.0,0,1
1628,Newport,2020-02-28,0,0,0.0,0,1
1629,Newport,2020-02-27,0,0,0.0,0,1
1630,Newport,2020-02-26,0,0,0.0,0,1
1631,Newport,2020-02-25,0,0,0.0,0,1
1632,Newport,2020-02-24,0,0,0.0,0,1
1633,Newport,2020-02-23,0,0,0.0,0,1
1634,Newport,2020-02-22,0,0,0.0,0,1
1635,Newport,2020-02-21,0,0,0.0,0,1
1636,Newport,2020-02-20,0,0,0.0,0,1
1637,Newport,2020-02-19,0,0,0.0,0,1
1638,Newport,2020-02-18,0,0,0.0,0,1
1639,Newport,2020-02-17,0,0,0.0,0,1
1640,Newport,2020-02-16,0,0,0.0,0,1
1641,Newport,2020-02-15,0,0,0.0,0,1
1642,Newport,2020-02-14,0,0,0.0,1,1
1643,Newport,2020-02-13,0,0,0.0,0,0
1644,Newport,2020-02-12,0,0,0.0,0,0
