Location,LocID,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
Central America,916,2,Medium,2019,2019.5,87024.92800000001,90561.597,177586.525,72.417
Central Asia,5500,2,Medium,2019,2019.5,36247.413,36964.698,73212.11099999999,18.644000000000002
Central European Free Trade Agreement (CEFTA),1545,2,Medium,2019,2019.5,12661.702,13177.44,25839.142000000003,88.086
Central and Southern Asia,921,2,Medium,2019,2019.5,1025739.444,965684.063,1991423.507,192.838
Chad,148,2,Medium,2019,2019.5,7960.522,7986.36,15946.882,12.664000000000001
Channel Islands,830,2,Medium,2019,2019.5,85.25399999999999,87.01,172.264,906.653
Chile,152,2,Medium,2019,2019.5,9341.774,9610.261,18952.035,25.489
China,156,2,Medium,2019,2019.5,735624.2590000001,698159.433,1433783.6919999998,152.722
China (and dependencies),1105,2,Medium,2019,2019.5,751174.575,714459.6009999999,1465634.176,155.51
"China, Hong Kong SAR",344,2,Medium,2019,2019.5,3418.487,4017.67,7436.156999999999,7082.054
"China, Macao SAR",446,2,Medium,2019,2019.5,307.70599999999996,332.74,640.446,21419.599
Taiwan*,158,2,Medium,2019,2019.5,11824.123,11949.758,23773.881,671.3889999999999
Colombia,170,2,Medium,2019,2019.5,24713.193,25626.25,50339.443,45.371
Commonwealth of Independent States (CIS),1566,2,Medium,2019,2019.5,136974.24,152604.888,289579.128,13.64
Commonwealth of Nations,2074,2,Medium,2019,2019.5,1295246.211,1234505.864,2529752.075,84.391
Commonwealth: Africa,2075,2,Medium,2019,2019.5,284611.352,285136.483,569747.835,74.477
Commonwealth: Asia,2076,2,Medium,2019,2019.5,933970.7309999999,871569.677,1805540.408,422.69800000000004
Commonwealth: Caribbean and Americas,2077,2,Medium,2019,2019.5,21943.468999999997,22287.595,44231.064000000006,4.734
Commonwealth: Europe,2078,2,Medium,2019,2019.5,34171.515,34997.597,69169.11200000001,275.03700000000003
Commonwealth: Pacific,2079,2,Medium,2019,2019.5,20549.144,20514.512,41063.656,4.853
Comoros,174,2,Medium,2019,2019.5,429.21,421.681,850.8910000000001,457.222
Congo (Brazzaville),178,2,Medium,2019,2019.5,2687.3579999999997,2693.1459999999997,5380.504,15.755999999999998
Cook Islands,184,2,Medium,2019,2019.5,,,17.547,73.112
Costa Rica,188,2,Medium,2019,2019.5,2522.5389999999998,2525.022,5047.561,98.855
Countries with Access to the Sea,1638,2,Medium,2019,2019.5,3600496.039,3529632.704,7130128.743,63.141000000000005
Countries with Access to the Sea: Africa,2094,2,Medium,2019,2019.5,488419.94,487381.74799999996,975801.688,45.8
Countries with Access to the Sea: Asia,2095,2,Medium,2019,2019.5,2272641.057,2164704.463,4437345.52,182.03400000000002
Countries with Access to the Sea: Europe,2096,2,Medium,2019,2019.5,327452.443,351236.885,678689.328,31.647
Countries with Access to the Sea: Latin America and the Caribbean,2097,2,Medium,2019,2019.5,309442.62899999996,320120.586,629563.215,33.741
Countries with Access to the Sea: Northern America,2098,2,Medium,2019,2019.5,181452.303,185148.641,366600.94399999996,19.655
Countries with Access to the Sea: Oceania,2099,2,Medium,2019,2019.5,21087.667,21040.381,42128.047999999995,4.9639999999999995
Croatia,191,2,Medium,2019,2019.5,1990.015,2140.284,4130.299,73.808
Cuba,192,2,Medium,2019,2019.5,5627.928000000001,5705.556,11333.483999999999,106.478
Curaçao,531,2,Medium,2019,2019.5,75.084,88.339,163.423,368.07
Cyprus,196,2,Medium,2019,2019.5,599.297,599.2769999999999,1198.5739999999998,129.716
Czechia,203,2,Medium,2019,2019.5,5260.628000000001,5428.585,10689.213,138.39
Cote d'Ivoire,384,2,Medium,2019,2019.5,12974.206,12742.348,25716.554,80.87
Dem. People's Republic of Korea,408,2,Medium,2019,2019.5,12552.761999999999,13113.396,25666.158,213.15599999999998
Congo (Kinshasa),180,2,Medium,2019,2019.5,43319.102999999996,43471.465,86790.56800000001,38.283
Denmark,208,2,Medium,2019,2019.5,2869.672,2902.205,5771.8769999999995,136.033
Denmark (and dependencies),1106,2,Medium,2019,2019.5,2924.8190000000004,2952.395,5877.214,12.937999999999999
Djibouti,262,2,Medium,2019,2019.5,511.94699999999995,461.61,973.557,42.0
Dominica,212,2,Medium,2019,2019.5,,,71.808,95.744
Dominican Republic,214,2,Medium,2019,2019.5,5366.198,5372.759,10738.957,222.247
ECE: North America-2,1737,2,Medium,2019,2019.5,181389.837,185086.11800000002,366475.955,20.090999999999998
ECE: UNECE-52,1736,2,Medium,2019,2019.5,632408.121,664084.475,1296492.596,28.631999999999998
ECLAC: Latin America,1744,2,Medium,2019,2019.5,312928.255,323144.531,636072.786,32.41
ECLAC: The Caribbean,1746,2,Medium,2019,2019.5,5873.210999999999,6171.5869999999995,12044.798,24.015
ESCAP region: East and North-East Asia,1071,2,Medium,2019,2019.5,841092.913,807744.3259999999,1648837.239,143.066
ESCAP region: North and Central Asia,1074,2,Medium,2019,2019.5,112163.19900000001,123923.381,236086.58,11.525
ESCAP region: Pacific,1075,2,Medium,2019,2019.5,21081.501,21033.781000000003,42115.282,4.963
ESCAP region: South and South-West Asia,1073,2,Medium,2019,2019.5,1030665.74,970975.2629999999,2001641.003,279.178
ESCAP region: South-East Asia,1072,2,Medium,2019,2019.5,330672.968,331338.878,662011.846,152.513
ESCAP: ADB Developing member countries (DMCs),2061,2,Medium,2019,2019.5,2062539.0869999998,1967041.345,4029580.432,163.321
ESCAP: ADB Group A (Concessional assistance only),2058,2,Medium,2019,2019.5,79684.284,83282.455,162966.739,71.714
ESCAP: ADB Group B (OCR blend),2059,2,Medium,2019,2019.5,927234.0970000001,865089.27,1792323.3669999999,283.533
ESCAP: ADB Group C (Regular OCR only),2060,2,Medium,2019,2019.5,1055620.706,1018669.62,2074290.326,129.007
ESCAP: ASEAN,1054,2,Medium,2019,2019.5,330019.461,330699.265,660718.726,152.738
ESCAP: Central Asia,1057,2,Medium,2019,2019.5,44560.259000000005,45654.060999999994,90214.32,21.964000000000002
ESCAP: ECO,1055,2,Medium,2019,2019.5,255304.15399999998,248906.25,504210.404,64.383
ESCAP: HDI groups,2049,2,Medium,2019,2019.5,2335676.321,2255015.629,4590691.95,88.272
ESCAP: Landlocked countries (LLDCs),1060,2,Medium,2019,2019.5,80825.188,83200.558,164025.74599999998,24.641
ESCAP: Least Developed Countries (LDCs),1059,2,Medium,2019,2019.5,154356.191,156197.054,310553.245,149.233
ESCAP: Pacific island dev. econ.,1058,2,Medium,2019,2019.5,6179.028,5949.991999999999,12129.02,22.432
ESCAP: SAARC,1056,2,Medium,2019,2019.5,947602.141,887695.3620000001,1835297.503,384.631
ESCAP: WB High income econ.,2048,2,Medium,2019,2019.5,109894.67599999999,113288.76199999999,223183.438,26.451999999999998
ESCAP: WB Low income econ.,2045,2,Medium,2019,2019.5,45129.442,47187.187999999995,92316.63,100.714
ESCAP: WB Lower middle income econ.,2046,2,Medium,2019,2019.5,1224316.923,1163178.3020000001,2387495.225,231.62400000000002
ESCAP: WB Upper middle income econ.,2047,2,Medium,2019,2019.5,956325.88,931351.6159999999,1887677.496,58.363
ESCAP: WB income groups,2044,2,Medium,2019,2019.5,2335666.921,2255005.8680000002,4590672.789,88.273
ESCAP: high HDI,2053,2,Medium,2019,2019.5,109605.67,113004.962,222610.63199999998,26.453000000000003
ESCAP: high income,1064,2,Medium,2019,2019.5,109718.304,113117.87199999999,222836.176,26.423000000000002
ESCAP: income groups,2054,2,Medium,2019,2019.5,2335676.321,2255015.629,4590691.95,88.272
ESCAP: low HDI,2050,2,Medium,2019,2019.5,985163.4940000001,926572.122,1911735.616,297.845
ESCAP: low income,1062,2,Medium,2019,2019.5,1065375.937,1007654.0920000001,2073030.029,277.71
ESCAP: lower middle HDI,2051,2,Medium,2019,2019.5,1047473.76,1010411.5190000001,2057885.279,135.97299999999998
ESCAP: lower middle income,2055,2,Medium,2019,2019.5,290199.09,290069.186,580268.2760000001,88.73200000000001
ESCAP: other Asia-Pacific countries/areas,1065,2,Medium,2019,2019.5,105881.234,91599.81599999999,197481.05,50.882
ESCAP: upper middle HDI,2052,2,Medium,2019,2019.5,193433.397,205027.026,398460.42299999995,18.081
ESCAP: upper middle income,2056,2,Medium,2019,2019.5,870382.99,844174.479,1714557.469,57.986000000000004
ESCWA: Arab countries,2062,2,Medium,2019,2019.5,221900.697,206265.69199999998,428166.38899999997,32.909
ESCWA: Arab least developed countries,2066,2,Medium,2019,2019.5,46993.435999999994,46774.775,93768.211,23.583000000000002
ESCWA: Gulf Cooperation Council countries,2065,2,Medium,2019,2019.5,35586.159,22108.2,57694.359000000004,22.423000000000002
ESCWA: Maghreb countries,2063,2,Medium,2019,2019.5,49063.328,48933.666,97996.994,20.662
ESCWA: Mashreq countries,2064,2,Medium,2019,2019.5,90257.774,88449.05099999999,178706.825,103.994
ESCWA: member countries,1765,2,Medium,2019,2019.5,191509.678,176336.303,367845.981,36.872
East African Community (EAC),1563,2,Medium,2019,2019.5,94371.773,95696.871,190068.64399999997,82.066
Eastern Africa,910,2,Medium,2019,2019.5,215283.75699999998,218621.18600000002,433904.94299999997,65.078
Eastern Asia,906,2,Medium,2019,2019.5,852917.036,819694.084,1672611.12,144.684
Eastern Europe,923,2,Medium,2019,2019.5,138023.995,155420.926,293444.92100000003,16.255
Eastern European Group,1825,2,Medium,2019,2019.5,160876.43,179437.258,340313.68799999997,18.217
Eastern and South-Eastern Asia,1832,2,Medium,2019,2019.5,1183590.004,1151032.962,2334622.966,146.821
Economic Community of Central African States (ECCAS),1538,2,Medium,2019,2019.5,98896.36300000001,99569.579,198465.94199999998,30.313000000000002
Economic Community of West African States (ECOWAS),1540,2,Medium,2019,2019.5,194712.077,192196.31100000002,386908.388,76.875
Economic Cooperation Organization (ECO),1547,2,Medium,2019,2019.5,255304.15399999998,248906.25,504210.404,64.383
Ecuador,218,2,Medium,2019,2019.5,8690.487,8683.17,17373.657,69.954
Egypt,818,2,Medium,2019,2019.5,50722.599,49665.477,100388.076,100.84700000000001
El Salvador,222,2,Medium,2019,2019.5,3023.353,3430.197,6453.55,311.465
Equatorial Guinea,226,2,Medium,2019,2019.5,753.823,602.159,1355.9820000000002,48.342
